,,,,final_accuracy,final_accuracy,accuracy_change,accuracy_change,parameter_reduction_pct,parameter_reduction_pct,mac_reduction_pct,mac_reduction_pct,speedup,speedup
,,,,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,architecture,method,target_prune_rate,,,,,,,,,,
FashionMNIST,VGG11BN,E-HRAP,0.1,93.01,,0.25,,18.437,,17.548,,0.882,
FashionMNIST,VGG11BN,E-HRAP,0.2,93.19,,0.43,,35.081,,33.472,,0.888,
FashionMNIST,VGG11BN,E-HRAP,0.3,93.01,,0.25,,49.84,,47.862,,0.908,
FashionMNIST,VGG11BN,E-HRAP,0.4,93.08,,0.32,,63.072,,60.723,,0.898,
FashionMNIST,VGG11BN,E-HRAP,0.5,92.79,,0.03,,74.064,,71.628,,0.911,
FashionMNIST,VGG11BN,Uniform-Magnitude,0.1,93.4,,0.64,,18.843,,18.563,,0.89,
FashionMNIST,VGG11BN,Uniform-Magnitude,0.2,93.2,,0.44,,35.835,,35.612,,0.813,
FashionMNIST,VGG11BN,Uniform-Magnitude,0.3,92.93,,0.17,,50.764,,50.599,,0.907,
FashionMNIST,VGG11BN,Uniform-Magnitude,0.4,92.94,,0.18,,63.779,,63.657,,0.997,
FashionMNIST,VGG11BN,Uniform-Magnitude,0.5,92.94,,0.18,,74.97,,74.902,,1.013,
MNIST,ResNet20,Adaptive-Correlation,0.1,99.44,,0.09,,8.379,,7.415,,0.922,
MNIST,ResNet20,Adaptive-Correlation,0.2,99.54,,0.19,,17.289,,15.467,,0.76,
MNIST,ResNet20,Adaptive-Correlation,0.3,99.53,,0.18,,26.942,,25.611,,0.932,
MNIST,ResNet20,Adaptive-Correlation,0.4,99.49,,0.14,,36.33,,35.301,,0.979,
MNIST,ResNet20,Adaptive-Correlation,0.5,99.43,,0.08,,46.246,,43.58,,0.948,
MNIST,ResNet20,Adaptive-Magnitude,0.1,99.52,,0.17,,8.538,,7.688,,0.903,
MNIST,ResNet20,Adaptive-Magnitude,0.2,99.53,,0.18,,17.448,,16.695,,0.949,
MNIST,ResNet20,Adaptive-Magnitude,0.3,99.46,,0.11,,26.995,,25.293,,0.928,
